City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Kirakira,SB,-10.4544,161.9205,29.4,72,82,2.49,broken clouds
239,Bethel,US,41.3712,-73.414,-4.73,61,0,0.0,clear sky
240,Salinopolis,BR,-0.6136,-47.3561,25.03,86,100,6.02,overcast clouds
241,Saldanha,ZA,-33.0117,17.9442,19.03,84,8,3.6,clear sky
242,Solnechnyy,RU,50.7214,136.6319,-16.43,93,98,0.97,overcast clouds
243,Yumen,CN,40.2833,97.2,-9.91,31,53,2.45,broken clouds
244,Ribeira Grande,PT,38.5167,-28.7,15.52,74,16,6.15,few clouds
245,Portland,US,45.5234,-122.6762,8.47,83,100,0.89,overcast clouds
246,Bilibino,RU,68.0546,166.4372,-13.68,69,100,2.3,overcast clouds
247,Darhan,MN,49.4867,105.9228,-26.32,97,64,1.73,broken clouds
248,Lampa,CL,-33.2833,-70.9,22.26,46,0,6.69,clear sky
249,Churapcha,RU,62.0025,132.4325,-28.11,95,100,2.7,overcast clouds
250,Brewster,US,41.3973,-73.6171,-4.59,64,0,0.0,clear sky
251,Gorom-Gorom,BF,14.4439,-0.2361,19.55,16,21,4.45,few clouds
252,Tautira,PF,-17.7333,-149.15,30.01,78,24,8.62,light rain
253,Baykit,RU,61.67,96.37,-20.6,100,100,0.36,overcast clouds
254,Xichang,CN,27.8964,102.2634,4.25,97,100,1.66,overcast clouds
255,Hope,US,33.6671,-93.5916,18.03,65,100,2.24,overcast clouds
256,Aleksandrovskoye,RU,44.7142,43.0008,0.08,93,100,2.14,light snow
257,Clyde River,CA,70.4692,-68.5914,-34.87,68,100,3.6,overcast clouds
258,Hit,IQ,33.6416,42.8251,8.9,77,100,3.27,overcast clouds
259,Kurilsk,RU,45.2333,147.8833,-5.11,81,100,10.97,light snow
260,Yarada,IN,17.65,83.2667,18.18,100,20,1.03,mist
261,Ponta Delgada,PT,37.7333,-25.6667,14.72,72,40,3.6,scattered clouds
262,Broome,US,42.2506,-75.833,-7.77,73,8,0.89,clear sky
263,Meadow Lake,US,34.8014,-106.5436,12.69,20,26,0.48,scattered clouds
264,Ibirataia,BR,-14.0669,-39.6406,21.87,99,39,0.7,scattered clouds
265,Waipawa,NZ,-41.4122,175.5153,23.35,53,100,3.63,overcast clouds
266,Margate,GB,51.3813,1.3862,5.97,83,86,0.89,overcast clouds
267,Brae,GB,60.3964,-1.353,5.95,95,100,12.23,overcast clouds
268,Port Augusta,AU,-32.5,137.7667,24.28,62,100,9.11,overcast clouds
269,Zemio,CF,5.0314,25.1361,20.91,30,17,0.92,few clouds
270,Kampene,CD,-3.6,26.6667,18.62,97,100,1.02,overcast clouds
271,Thinadhoo,MV,0.5333,72.9333,28.11,69,42,4.92,scattered clouds
272,Araouane,ML,18.9048,-3.5265,19.96,9,0,5.43,clear sky
273,Jasper,US,37.2001,-94.3502,14.03,30,0,5.14,clear sky
274,Bose,IT,45.4612,8.0137,6.71,40,0,2.52,clear sky
275,Bam,IR,29.106,58.357,10.19,36,0,1.72,clear sky
276,Victoria,HK,22.2855,114.1577,15.53,91,100,0.45,overcast clouds
277,Boddam,GB,57.4667,-1.7833,9.75,87,100,8.54,overcast clouds
278,Tanout,NE,14.9709,8.8879,11.1,19,5,5.95,clear sky
279,Mindelo,CV,16.8901,-24.9804,20.75,73,0,8.23,clear sky
280,Hailar,CN,49.2,119.7,-28.17,97,28,2.35,scattered clouds
281,Airai,TL,-8.9266,125.4092,21.18,63,52,2.77,broken clouds
282,Palmares Do Sul,BR,-30.2578,-50.5097,21.82,89,0,1.85,clear sky
283,Olinda,BR,-8.0089,-34.8553,26.85,78,40,2.06,scattered clouds
284,Banikoara,BJ,11.2985,2.4386,21.75,13,86,3.42,overcast clouds
285,Ostrovnoy,RU,68.0531,39.5131,-12.2,96,100,2.47,overcast clouds
286,Ambatolampy,MG,-19.3833,47.4167,16.87,85,99,2.13,overcast clouds
287,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,25.57,75,100,0.38,overcast clouds
288,Santa Barbara,US,34.7333,-120.0343,12.66,66,0,1.54,clear sky
289,Mayo,US,38.8876,-76.5119,0.48,64,0,3.58,clear sky
290,Wonthaggi,AU,-38.6044,145.5913,23.02,74,47,8.13,scattered clouds
291,Turukhansk,RU,65.8167,87.9833,-12.55,94,100,5.19,light snow
292,Lafiagi,NG,8.8667,5.4167,22.28,13,100,1.65,overcast clouds
293,Parkes,AU,-33.1333,148.1833,25.48,63,99,3.22,overcast clouds
294,Abdanan,IR,32.9926,47.4198,5.77,79,100,1.02,overcast clouds
295,Oskemen,KZ,49.9565,82.6119,-20.04,76,20,1.0,mist
296,Iralaya,HN,15.0,-83.2333,26.05,71,97,4.12,overcast clouds
297,Faro,PT,37.0194,-7.9322,12.88,50,0,1.54,clear sky
298,Veshenskaya,RU,49.6303,41.7334,-0.48,88,99,7.41,overcast clouds
299,Cockburn Town,TC,21.4612,-71.1419,23.4,71,100,9.98,overcast clouds
300,Honningsvag,NO,70.9821,25.9704,-1.84,75,100,5.21,overcast clouds
301,Srednekolymsk,RU,67.45,153.6833,-25.0,90,100,1.63,overcast clouds
302,Boa Vista,BR,2.8197,-60.6733,29.99,51,0,4.63,clear sky
303,Dangriga,BZ,16.9692,-88.2321,22.98,80,100,5.62,overcast clouds
304,Inongo,CD,-1.95,18.2667,23.51,66,34,0.91,scattered clouds
305,Havelock,US,34.8791,-76.9013,6.99,67,3,0.45,clear sky
306,Rocha,UY,-34.4833,-54.3333,15.12,64,0,2.29,clear sky
307,Nome,US,64.5011,-165.4064,-6.96,42,0,5.66,clear sky
308,La Ronge,CA,55.1001,-105.2842,-15.86,72,100,7.72,overcast clouds
309,George,ZA,-33.963,22.4617,18.75,100,75,1.03,broken clouds
310,Magog,CA,45.2668,-72.1491,-9.1,73,93,0.51,overcast clouds
311,Shetpe,KZ,44.1667,52.1167,0.95,91,100,2.28,overcast clouds
312,Abu Samrah,SY,35.3029,37.1841,5.06,87,2,0.89,clear sky
313,Flinders,AU,-34.5833,150.8552,32.81,69,6,1.79,clear sky
314,Andenes,NO,69.3143,16.1194,-3.01,80,100,5.66,overcast clouds
315,Manakara,MG,-22.1333,48.0167,23.18,88,58,1.34,light rain
316,Castro,BR,-24.7911,-50.0119,17.22,92,0,1.62,clear sky
317,Galle,LK,6.0367,80.217,23.41,89,44,2.46,scattered clouds
318,Ciudad Guayana,VE,8.3533,-62.6528,26.4,80,99,3.16,overcast clouds
319,Jinchang,CN,38.4953,102.1739,-7.82,35,100,0.7,overcast clouds
320,Moerai,PF,-22.4333,-151.3333,26.85,75,95,7.89,overcast clouds
321,Peleduy,RU,59.6289,112.7406,-19.51,99,99,1.49,overcast clouds
322,Tilichiki,RU,60.4667,166.1,-13.14,87,100,3.63,overcast clouds
323,Kashi,CN,39.4547,75.9797,-2.63,39,20,4.0,few clouds
324,Sajanan,TN,37.0573,9.2426,13.15,75,87,14.28,overcast clouds
325,San Rafael,AR,-34.6177,-68.3301,24.97,26,1,2.67,clear sky
326,Doha,QA,25.2867,51.5333,16.99,94,0,1.03,clear sky
327,Bathsheba,BB,13.2167,-59.5167,26.34,78,40,4.12,scattered clouds
328,Buala,SB,-8.145,159.5921,29.55,65,100,1.64,overcast clouds
329,Manokwari,ID,-0.8667,134.0833,26.92,68,100,4.75,overcast clouds
330,Teahupoo,PF,-17.8333,-149.2667,26.98,78,26,8.96,light rain
331,Coquimbo,CL,-29.9533,-71.3436,17.86,80,54,1.61,broken clouds
332,Fortuna,US,40.5982,-124.1573,11.38,74,40,3.13,scattered clouds
333,Kondinskoye,RU,59.6481,67.41,-24.81,100,80,1.63,broken clouds
334,Yar-Sale,RU,66.8333,70.8333,-27.06,100,40,2.59,scattered clouds
335,Urubamba,PE,-13.3047,-72.1158,15.5,90,100,2.61,overcast clouds
