City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
269,Zemio,CF,5.0314,25.1361,20.91,30,17,0.92,few clouds,OCHA Office
276,Victoria,HK,22.2855,114.1577,15.53,91,100,0.45,overcast clouds,Mini Hotel Central
283,Olinda,BR,-8.0089,-34.8553,26.85,78,40,2.06,scattered clouds,Hotel Albergue de Olinda
284,Banikoara,BJ,11.2985,2.4386,21.75,13,86,3.42,overcast clouds,Hôtel de l'UCom CVPC
286,Ambatolampy,MG,-19.3833,47.4167,16.87,85,99,2.13,overcast clouds,Au Rendez Vous Des P?Ÿƒ¦cheurs
287,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,25.57,75,100,0.38,overcast clouds,Alarne - Área De Lazer Do Alto Rio Negro
290,Wonthaggi,AU,-38.6044,145.5913,23.02,74,47,8.13,scattered clouds,Wonthaggi Caravans & Trailers
292,Lafiagi,NG,8.8667,5.4167,22.28,13,100,1.65,overcast clouds,Bus group international
293,Parkes,AU,-33.1333,148.1833,25.48,63,99,3.22,overcast clouds,Station Motel
296,Iralaya,HN,15.0,-83.2333,26.05,71,97,4.12,overcast clouds,Iglesia morava renovada
299,Cockburn Town,TC,21.4612,-71.1419,23.4,71,100,9.98,overcast clouds,Osprey Beach Hotel
303,Dangriga,BZ,16.9692,-88.2321,22.98,80,100,5.62,overcast clouds,Chaleanor Hotel
304,Inongo,CD,-1.95,18.2667,23.51,66,34,0.91,scattered clouds,Hotel Du Lac
309,George,ZA,-33.963,22.4617,18.75,100,75,1.03,broken clouds,Protea Hotel by Marriott George King George
313,Flinders,AU,-34.5833,150.8552,32.81,69,6,1.79,clear sky,Shellharbour Resort & Conference Centre
315,Manakara,MG,-22.1333,48.0167,23.18,88,58,1.34,light rain,La Residence Manakara
317,Galle,LK,6.0367,80.217,23.41,89,44,2.46,scattered clouds,Amangalla
318,Ciudad Guayana,VE,8.3533,-62.6528,26.4,80,99,3.16,overcast clouds,Hotel Las Americas
320,Moerai,PF,-22.4333,-151.3333,26.85,75,95,7.89,overcast clouds,Le Manotel
325,San Rafael,AR,-34.6177,-68.3301,24.97,26,1,2.67,clear sky,Hotel San Rafael
327,Bathsheba,BB,13.2167,-59.5167,26.34,78,40,4.12,scattered clouds,Atlantis Hotel
328,Buala,SB,-8.145,159.5921,29.55,65,100,1.64,overcast clouds,Maringe Lagoon Lodge
329,Manokwari,ID,-0.8667,134.0833,26.92,68,100,4.75,overcast clouds,Swiss Belhotel Manokwari
330,Teahupoo,PF,-17.8333,-149.2667,26.98,78,26,8.96,light rain,Vanira Lodge
331,Coquimbo,CL,-29.9533,-71.3436,17.86,80,54,1.61,broken clouds,Hostel Del Puerto
335,Urubamba,PE,-13.3047,-72.1158,15.5,90,100,2.61,overcast clouds,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
337,Ambulu,ID,-8.345,113.6058,27.46,77,100,1.02,overcast clouds,Hotel Ambulu Jember
341,Camacha,PT,33.0833,-16.3333,16.96,82,20,10.29,few clouds,Hotel Porto Santo & Spa
342,Pakxe,LA,15.1167,105.7833,21.08,88,40,1.03,mist,Champasak Palace Hotel
343,Lorengau,PG,-2.0226,147.2712,25.45,90,100,6.03,overcast clouds,Lorengau Harbourside Hotel
344,Bambanglipuro,ID,-7.95,110.2833,17.56,79,79,1.61,broken clouds,Puri Brata
346,Ahipara,NZ,-35.1667,173.1667,22.28,76,99,7.07,overcast clouds,Ahipara Holiday Park
348,Namibe,AO,-15.1961,12.1522,21.76,73,99,3.69,overcast clouds,Hotel Chik Chik Namibe
349,Saint-Georges,GD,12.0564,-61.7485,25.82,83,20,6.69,few clouds,Radisson Grenada Beach Resort
358,Lucapa,AO,-8.4192,20.7447,18.56,98,100,1.33,overcast clouds,Residência Ulisses Dos Santos
362,Puerto Narino,CO,-3.7703,-70.3831,27.97,79,89,1.11,overcast clouds,Eware Refugio Amazonico
363,Villarrica,PY,-25.75,-56.4333,25.59,31,3,1.37,clear sky,Mansión Reljuv Tours SA
367,Ipixuna,BR,-1.7625,-48.8043,24.97,92,83,1.47,broken clouds,Casa da Oscarina
379,Itaperucu,BR,-25.22,-49.3478,21.67,98,18,0.46,few clouds,DR Hotel Rio Branco do Sul
380,Banda Aceh,ID,5.5577,95.3222,25.63,82,100,3.46,overcast clouds,Sulthan Hotel International
381,Tuding,PH,16.4103,120.6442,19.75,64,16,1.49,few clouds,Le Monet Hotel
382,Saint-Leu,RE,-21.15,55.2833,25.48,78,98,7.08,overcast clouds,La Caz Oceane
383,Ghatanji,IN,20.1333,78.3167,17.53,30,6,1.56,clear sky,गजानन माहराज मदील घाटजी
